synced_at,source_env,bot_group,strategy,model,symbol,side,qty,filled_qty,filled_avg_price,filled_at,submitted_at,status,order_type,order_class,time_in_force,order_id,client_order_id
2026-05-16 21:21:09,C:\Users\RodgerTucker\tradingview-alpaca-bot\.env,TV_WEBHOOK,ha_100ema_doji_v1,tv_ha_100ema_doji_live_v1,AMD,sell,2,0,,,2026-05-07 23:09:35.852493+00:00,canceled,stop,bracket,day,e36d2126-e849-4ce9-99ca-5c8661dd68c8,64dd5ba1-220e-43b0-97fa-d35259cf3768
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,sell,1,1,434.01,2026-05-15 14:11:54.566405+00:00,2026-05-15 14:11:53.919253+00:00,filled,market,simple,day,a4d71ee0-69c1-4b9e-84b7-f1c49b2d413b,cc6b9e2f-684c-4215-9ffe-a3f814593159
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,sell,1,0,,,2026-05-14 16:43:55.478831+00:00,expired,limit,bracket,day,24023542-4dbd-4dd6-ad26-ea007d7d091a,6f0aa92c-e18b-4630-b796-3e5f69627e3c
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,buy,1,1,448.98,2026-05-14 16:43:55.471057+00:00,2026-05-14 16:43:54.628667+00:00,filled,market,bracket,day,6972e2dd-288b-47be-a848-19762d44050f,456fd267-4f6d-49ab-92a4-89182c14e7fd
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,sell,1,0,,,2026-05-14 16:43:54.622954+00:00,canceled,stop,bracket,day,448bdf21-1b57-4c04-a3ce-817ae04a8e2d,ce6bf7d1-05b2-4e04-9ca3-1c0ea931218d
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,sell,1,1,449.89,2026-05-13 17:01:42.796800+00:00,2026-05-13 14:32:00.315651+00:00,filled,limit,bracket,day,edfe259d-11da-4d34-b767-0697354f2b2e,5967d004-7359-42f4-a8d4-051e97cb5585
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,buy,1,1,439.5,2026-05-13 14:32:00.302639+00:00,2026-05-13 14:31:59.943085+00:00,filled,market,bracket,day,f88d8a65-a3b8-434d-9e3f-9aff7791fc71,6ae8aab4-dd9d-4b4c-ad31-37dbac377760
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,sell,1,0,,,2026-05-13 14:31:59.862443+00:00,canceled,stop,bracket,day,b45d28d8-3f8b-4448-9bf2-1d028f2e4da2,351b1462-d66e-4d94-af06-73bcc12cc669
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,sell,1,1,439.12,2026-05-13 13:47:58.926949+00:00,2026-05-13 13:47:58.451253+00:00,filled,stop,bracket,day,574e84e7-90b2-4cb2-9621-9697ab5e2501,5dbc247e-50cf-47f3-b64e-259dd2d61a29
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,sell,1,0,,,2026-05-13 13:30:52.801686+00:00,canceled,limit,bracket,day,43dc8d4e-d6e8-484f-9cc7-4b4126bd7fae,0723ed18-2ad4-4b9b-a9ef-186ea57ec559
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,buy,1,1,454.82,2026-05-13 13:30:52.777771+00:00,2026-05-13 08:00:22.977792+00:00,filled,market,bracket,day,a1a6d2f2-edb6-4a73-ac06-d8a6c7d693d5,beb79d03-76bb-4efc-8e1c-f8aa7443562e
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,MSFT,sell,3,3,410.423333,2026-05-12 13:33:54.273443+00:00,2026-05-12 13:32:45.358321+00:00,filled,stop,bracket,day,6620aff1-dc37-4b5c-ab4b-53c4d2bae28b,035749db-611a-4c17-ac1d-b8772b0f0304
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,sell,3,3,454.26,2026-05-12 13:34:23.725103+00:00,2026-05-12 13:32:37.713684+00:00,filled,stop,bracket,day,25b27e9b-4382-46db-953b-5cfc3647391b,84f58242-01c7-4ba9-866c-8f55fb7f34c4
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,sell,3,0,,,2026-05-12 13:32:37.694623+00:00,canceled,limit,bracket,day,14913e9e-a47a-45a4-b39b-7044e016b911,14f84647-0b7e-4f0b-8a1a-8c0b0a14ecb6
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,MSFT,sell,3,0,,,2026-05-12 13:31:39.953639+00:00,canceled,limit,bracket,day,c9c95f01-be58-487f-a3ef-cd06bca17cef,acfc3e3d-48ee-4ec0-90f8-76ba1fac3ea8
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,AMD,buy,3,3,451.893333,2026-05-12 13:32:37.687917+00:00,2026-05-12 08:00:21.653783+00:00,filled,market,bracket,day,659455cf-5acc-4250-8b21-eb8adc224e33,c7920098-faee-4ec3-9f90-69638ca3d857
2026-05-16 21:21:10,C:\Users\RodgerTucker\alligator-alpaca-bot\.env,ALLIGATOR,alligator_trend_v1,alligator_live_v1,MSFT,buy,3,3,413.463333,2026-05-12 13:31:39.926414+00:00,2026-05-12 08:00:20.826997+00:00,filled,market,bracket,day,eee68882-10f5-4083-adbc-e345d602d1d8,b5de0e18-9e5e-4e81-83d2-5200b386968e
